Pid,Age,Year Level,Python Experience (Years),Pandas Experience (Years),Version,Task Order,Correctness_Epsilon,Correctness_Zeta,Correctness_Lambda,Correctness_Theta,Correctness_Gamma,Correctness_Kappa,Confidence_Epsilon,Confidence_Zeta,Confidence_Lambda,Confidence_Theta,Confidence_Gamma,Confidence_Kappa,Usefulness,Easiness To Use
P1,19,1st year,2,1,A,"123, 312",2,2,5,3,5,4,4,2,4,7,6,6,6,6
P2,20,2nd year,1,1,D,"213, 231",5,4,5,5,5,3,7,7,7,7,6,7,6,7
P3,19,1st year,4,1,B,"231, 132",4,4,5,5,2,5,6,6,7,5,6,5,5,7
P4,18,1st year,2,1,B,"213, 321",2,4,4,5,5,3,3,4,5,3,3,2,6,6
P5,18,1st year,1,1,C,"132, 132",1,4,3,5,5,3,4,7,6,7,6,6,6,3
P6,19,2nd year,2,1,D,"312, 213",5,4,1,3,5,2,5,4,5,4,5,6,6,7
P7,22,2nd year,2,1,A,"213, 312",1,1,1,1,1,2,5,3,5,5,2,6,6,6
P8,19,1st year,1,1,B,"312, 231",3,2,4,4,3,4,7,7,7,6,7,6,6,7
P9,18,1st year,2,1,C,"231, 132",2,1,4,4,5,4,5,5,4,6,5,5,5,6
P10,19,1st year,1,1,D,"123, 231",5,3,5,5,5,3,6,6,5,5,6,6,6,6
P11,18,1st year,1,1,A,"321, 132",2,5,5,4,5,5,4,6,5,7,7,7,6,7
P12,18,1st year,1,1,C,"321, 321",5,5,2,4,5,2,5,6,5,6,5,6,6,7
P13,19,1st year,1,1,A,"321, 123",1,5,2,5,3,2,7,5,7,7,7,7,7,5
P14,22,2nd year,1,1,B,"231, 132",2,2,5,3,2,2,6,5,6,4,3,5,6,6
P15,21,1st year,1,1,C,"321, 123",3,4,5,5,5,5,6,6,6,6,6,6,6,5
P16,20,2nd year,1,1,A,"132, 321",4,5,5,3,5,5,5,5,5,5,6,6,6,5
P17,20,2nd year,1,1,D,"132, 213",2,4,3,3,5,2,6,7,5,7,6,5,7,7